John Marino,Pittsburgh Penguins,Defensemen,6
Ian Cole,Colorado Avalanche,Defensemen,4
Lawson Crouse,Arizona Coyotes,Left Wing,15
Derek Grant,Philadelphia Flyers,Center,15
Lucas Wallmark,Florida Panthers,Center,12
Matt Calvert,Colorado Avalanche,Left Wing,12
Marcus Foligno,Minnesota Wild,Left Wing,11
Brandon Tanev,Pittsburgh Penguins,Left Wing,11
Nick Cousins,Vegas Golden Knights,Center,10
Jason Spezza,Toronto Maple Leafs,Center,9
Travis Zajac,New Jersey Devils,Center,9
Wayne Simmonds,Buffalo Sabres,Right Wing,8
Carl Hagelin,Washington Capitals,Left Wing,8
Travis Sanheim,Philadelphia Flyers,Defensemen,8
Erik Haula,Florida Panthers,Left Wing,12
Alex Chiasson,Edmonton Oilers,Right Wing,11
Boone Jenner,Columbus Blue Jackets,Center,11
Alex Galchenyuk,Minnesota Wild,Center,8
Brady Skjei,Carolina Hurricanes,Defensemen,8
Ondrej Kase,Boston Bruins,Right Wing,7
Matt Dumba,Minnesota Wild,Defensemen,6
Sean Walker,Los Angeles Kings,Defensemen,5
Jake Gardiner,Carolina Hurricanes,Defensemen,4
Filip Chytil,New York Rangers,Center,14
Ryan Donato,Minnesota Wild,Center,14
Jeff Skinner,Buffalo Sabres,Left Wing,14
Oskar Sundqvist,St. Louis Blues,Center,12
Miles Wood,New Jersey Devils,Left Wing,11
Kaapo Kakko,New York Rangers,Right Wing,10
Conor Sheary,Pittsburgh Penguins,Left Wing,10
Vince Dunn,St. Louis Blues,Defensemen,9
Pat Maroon,Tampa Bay Lightning,Left Wing,9
Kirby Dach,Chicago Blackhawks,Center,8
Tyson Jost,Colorado Avalanche,Center,8
Ilya Mikheyev,Toronto Maple Leafs,Right Wing,8
Sonny Milano,Anaheim Ducks,Left Wing,7
Colin White,Ottawa Senators,Center,7
Blake Lizotte,Los Angeles Kings,Center,6
Jake Muzzin,Toronto Maple Leafs,Defensemen,6
Sean Kuraly,Boston Bruins,Center,6
Sami Vatanen,New Jersey Devils,Defensemen,5
Esa Lindell,Dallas Stars,Defensemen,3
Patrick Marleau,Pittsburgh Penguins,Center,11
Pierre-Edouard Bellemare,Colorado Avalanche,Center,9
Teddy Blueger,Pittsburgh Penguins,Center,9
Richard Panik,Washington Capitals,Right Wing,9
Dominik Simon,Pittsburgh Penguins,Center,7
Sam Steel,Anaheim Ducks,Center,6
Noah Hanifin,Calgary Flames,Defensemen,5
Vinnie Hinostroza,Arizona Coyotes,Right Wing,5
Alexander Wennberg,Columbus Blue Jackets,Center,5
Rasmus Andersson,Calgary Flames,Defensemen,5
Hampus Lindholm,Anaheim Ducks,Defensemen,2
Marcus Pettersson,Pittsburgh Penguins,Defensemen,2
Josh Archibald,Edmonton Oilers,Right Wing,12
Ben Chiarot,Montreal Canadiens,Defensemen,9
Jason Dickinson,Dallas Stars,Center,9
Nick Ritchie,Boston Bruins,Left Wing,9
Andreas Johnsson,Toronto Maple Leafs,Left Wing,8
Joel Farabee,Philadelphia Flyers,Left Wing,8
Matt Nieto,Colorado Avalanche,Left Wing,8
Jack Hughes,New Jersey Devils,Center,7
Tyler Myers,Vancouver Canucks,Defensemen,6
Valtteri Filppula,Detroit Red Wings,Center,6
Mattias Janmark,Dallas Stars,Center,6
Ethan Bear,Edmonton Oilers,Defensemen,5
Corey Perry,Dallas Stars,Right Wing,5
Matt Grzelcyk,Boston Bruins,Defensemen,4
Will Butcher,New Jersey Devils,Defensemen,4
Mikko Koivu,Minnesota Wild,Center,4
Nick Leddy,New York Islanders,Defensemen,3
Artem Anisimov,Ottawa Senators,Center,15
Radek Faksa,Dallas Stars,Center,11
Emil Bemstrom,Columbus Blue Jackets,Center,10
Jimmy Vesey,Buffalo Sabres,Left Wing,9
Ryan Hartman,Minnesota Wild,Right Wing,9
Nick Paul,Ottawa Senators,Left Wing,9
Mike Matheson,Florida Panthers,Defensemen,8
Tyler Pitlick,Philadelphia Flyers,Center,8
Michael Raffl,Philadelphia Flyers,Left Wing,8
Milan Lucic,Calgary Flames,Left Wing,8
Joel Edmundson,Carolina Hurricanes,Defensemen,7
Christopher Tanev,Vancouver Canucks,Defensemen,2
Zemgus Girgensons,Buffalo Sabres,Center,12
Brett Howden,New York Rangers,Center,9
Anders Bjork,Boston Bruins,Left Wing,9
Kyle Okposo,Buffalo Sabres,Right Wing,9
Carter Rowney,Anaheim Ducks,Center,8
Brad Hunt,Minnesota Wild,Defensemen,8
William Carrier,Vegas Golden Knights,Left Wing,7
Josh Leivo,Vancouver Canucks,Left Wing,7
Connor Murphy,Chicago Blackhawks,Defensemen,5
Anton Stralman,Florida Panthers,Defensemen,5
Brandon Carlo,Boston Bruins,Defensemen,4
TJ Brodie,Calgary Flames,Defensemen,4
Justin Braun,Philadelphia Flyers,Defensemen,3
Oskar Lindblom,Philadelphia Flyers,Left Wing,11
Mark Pysyk,Florida Panthers,Defensemen,9
Mark Borowiecki,Ottawa Senators,Defensemen,7
Cedric Paquette,Tampa Bay Lightning,Center,7
P.K. Subban,New Jersey Devils,Defensemen,7
Marcus Sorensen,San Jose Sharks,Left Wing,7
MacKenzie Weegar,Florida Panthers,Defensemen,7
Brendan Lemieux,New York Rangers,Left Wing,6
Johan Larsson,Buffalo Sabres,Center,6
Brandon Montour,Buffalo Sabres,Defensemen,5
Vladislav Gavrikov,Columbus Blue Jackets,Defensemen,5
Brett Pesce,Carolina Hurricanes,Defensemen,4
Matt Roy,Los Angeles Kings,Defensemen,4
Michal Kempny,Washington Capitals,Defensemen,3
Justin Holl,Toronto Maple Leafs,Defensemen,2
Brandon Sutter,Vancouver Canucks,Center,8
Alex Tuch,Vegas Golden Knights,Right Wing,8
Alexander Steen,St. Louis Blues,Left Wing,7
Kyle Clifford,Toronto Maple Leafs,Left Wing,7
